date	close	volume	open	high	low
15/10/15	221.31	2835920	216.43	221.73	213.7
16/10/15	227.01	4327574	223.04	230.4805	222.87
19/10/15	228.1	2506836	226.5	231.15	224.94
20/10/15	213.03	14877020	227.72	228.6	202
21/10/15	210.09	4177956	211.99	214.81	208.8
22/10/15	211.72	2818801	211.56	215.75	209.4
23/10/15	209.09	4226411	215	215.35	207.69
26/10/15	215.26	3388227	211.38	215.88	210
27/10/15	210.35	3512832	214.84	217.1	207.51
28/10/15	212.96	2726880	211.31	213.45	208.3
29/10/15	211.63	1794743	211.75	213.7481	210.64
30/10/15	206.93	4432433	210.4	211.63	203.89
2/11/15	213.79	3924514	208.92	215.8	207.22
3/11/15	208.35	8065091	213.85	214.44	207.75
4/11/15	231.63	12713530	227	232.74	225.2
5/11/15	231.77	4494944	230.58	234.5843	229.19
6/11/15	232.36	2444264	230.7	233.359	229.5
9/11/15	225.33	3846179	232.99	232.99	224.31
10/11/15	216.5	4612408	223.48	223.7	216.08
11/11/15	219.08	3337501	217.77	219.48	213.63
12/11/15	212.94	2913511	217.85	219	212.66
13/11/15	207.19	3423139	212.95	212.99	206.52
16/11/15	214.31	2920362	206.09	214.98	205.8
17/11/15	214	2148326	215.2	216	211.4
18/11/15	221.07	2810200	214.5	221.38	212.52
19/11/15	221.8	2499593	220.54	226.19	220.3
20/11/15	220.01	4394199	223.49	225	213.58
23/11/15	217.75	2525196	217.35	219.18	214.6798
24/11/15	218.25	2478389	215.37	221	215
25/11/15	229.64	3986945	221.34	230.825	220.375
27/11/15	231.61	1949353	231.06	232.25	227.01
30/11/15	230.26	2591205	231.79	234.28	229.08
1/12/15	237.19	3728562	231.06	238	231.05
2/12/15	231.99	2980644	237	238.6	231.23
3/12/15	232.71	2937233	235.48	237.45	230
4/12/15	230.38	2572014	232.46	233.27	227.66
7/12/15	231.13	3140864	227.7	235.63	226.15
8/12/15	226.72	2682259	227.52	228.8	224.2
9/12/15	224.52	3057036	226.7	227.5	220.72
10/12/15	227.07	2070088	224.71	228.49	223.64
11/12/15	217.02	3259114	225.24	225.75	216.64
14/12/15	218.58	2827797	217.51	220.92	214.87
15/12/15	221.09	2241686	221.82	222.22	218
16/12/15	234.51	5100443	222.1	234.88	220.73
17/12/15	233.39	3294460	233.94	237.76	229.8149
18/12/15	230.46	3008057	232.89	235.9	229.29
21/12/15	232.56	1951581	231.69	235.83	231.08
22/12/15	229.95	1958836	234.99	236.55	229.63
23/12/15	229.7	1551031	232.18	233.45	228.13
24/12/15	230.57	710277	230.56	231.88	228.28
28/12/15	228.95	1900171	231.49	231.98	225.54
29/12/15	237.19	2402438	230.06	237.72	229.547
30/12/15	238.09	3694448	236.6	243.634	235.6707
31/12/15	240.01	2713817	238.51	243.45	238.37
4/1/16	223.41	6823510	230.72	231.38	219
5/1/16	223.43	3185525	226.36	226.89	220
6/1/16	219.04	3774353	220	220.05	215.98
7/1/16	215.65	3550704	214.19	218.44	213.67
8/1/16	211	3572360	217.86	220.44	210.77
11/1/16	207.85	4090843	214.01	214.45	203
12/1/16	209.97	3079051	211.6	213.7395	205.31
13/1/16	200.31	4120993	212.01	212.65	200
14/1/16	206.18	6490579	202.21	210	193.38
15/1/16	204.99	5325773	198.97	205.07	197.25
19/1/16	204.72	4031271	208.71	210.47	200.78
20/1/16	198.7	5826110	199.4	201.28	191.25
21/1/16	199.97	3164424	201.55	203.23	195.02
22/1/16	202.55	3122066	204.801	205.5	199.03
25/1/16	196.38	2695408	200.06	203.57	195.88
26/1/16	193.56	4956918	196.7	197.82	188.88
27/1/16	188.07	3577353	192.38	193.26	185.77
28/1/16	189.7	4586328	190.79	191.28	182.41
29/1/16	191.2	2848929	189.95	193.74	188.08
1/2/16	196.94	5295685	188.76	199.52	182.75
2/2/16	182.78	5764817	192.42	193.12	180.23
3/2/16	173.48	7927640	183.59	183.94	170.18
4/2/16	175.33	4379442	170.7	175.98	166.99
5/2/16	162.6	9434495	171.3	173	157.7442
8/2/16	147.99	9306754	157.105	157.15	146
9/2/16	148.25	8639661	142.32	159.79	141.05
10/2/16	143.67	10104690	150.5	154.97	141.74
11/2/16	150.47	14236900	152	163.26	147
12/2/16	151.04	7233264	155	157.01	143.7
16/2/16	155.17	5561638	158.7	162.95	154.11
17/2/16	168.68	5820264	159	169.34	156.68
18/2/16	166.77	3883107	172.42	172.95	164.77
19/2/16	166.58	2955832	163.66	167.49	162.5
22/2/16	177.74	5055340	170.12	178.91	169.85
23/2/16	177.21	5982993	176.16	181.73	173.68
24/2/16	179	5385369	172.75	179.5	167.84
25/2/16	187.43	5727008	178.65	188.5192	175.2
26/2/16	190.34	6054061	188.7	192	185
29/2/16	191.93	4495402	192.4	196.35	189.222
1/3/16	186.35	6695704	194.25	195.9484	182.7
2/3/16	188.34	4858631	183.73	188.52	181.5
3/3/16	195.74	4822993	188.28	197.42	184.22
4/3/16	201.04	6479858	198	204.03	197.5001
7/3/16	205.29	5331097	197.68	209.7	197.4
8/3/16	202.6	4175498	203.5	207.5	202.2
9/3/16	208.72	3207597	204.52	209.3726	202.79
10/3/16	205.18	5191602	210	213.29	200.671
11/3/16	207.5	3339148	207.93	209.42	205.33
14/3/16	215.15	4062304	212.65	216.72	210.64
15/3/16	218.34	3133230	214.27	218.97	211.5
16/3/16	221.93	3511873	218	222.58	217.02
17/3/16	226.38	3769083	221.47	228.5	220
18/3/16	232.74	4704761	229.1	234.48	228.06
21/3/16	238.32	5289014	235.34	239.88	235
